class_name
44,Mammal
12,Fish
15,Invertebrate
70,Mammal
108,Bird
24,Bug
66,Mammal
22,Mammal
36,Mammal
55,Mammal
81,Invertebrate
30,Bug
62,Reptile
72,Invertebrate
9,Mammal
33,Bird
114,Reptile
68,Mammal
28,Mammal
47,Mammal
84,Mammal
5,Mammal
77,Invertebrate
67,Mammal
39,Bug
49,Mammal
35,Mammal
16,Bird
65,Mammal
34,Fish
85,Invertebrate
7,Fish
43,Bird
113,Mammal
78,Bird
27,Mammal
19,Mammal
94,Mammal
104,Fish
25,Amphibian
8,Fish
13,Invertebrate
83,Bird
3,Mammal
17,Mammal
38,Fish
91,Reptile
6,Mammal
76,Reptile
101,Mammal
93,Mammal
54,Mammal
50,Mammal
109,Bug
46,Invertebrate
80,Reptile
61,Fish
115,Reptile
79,Bird
116,Reptile
41,Bird
58,Bird
48,Mammal
100,Bird
57,Bird
75,Mammal
32,Mammal
111,Mammal
59,Bird
63,Mammal
98,Mammal
37,Bird
29,Mammal
105,Mammal
1,Mammal
52,Amphibian
21,Bird
2,Fish
23,Bird
103,Invertebrate
99,Invertebrate
87,Bird
107,Bird
74,Mammal
86,Fish
82,Fish
118,Reptile
20,Bird
60,Fish
71,Bird
106,Mammal
14,Invertebrate
92,Fish
51,Bug
102,Reptile
